"variableName";"IdParam";"IdUnit";"additionalUnitInfo"
"AIRT";"1";"429";""
"ATMP";"10";"511";""
"CNDC";"2";"483";""
"CNDC_2";"2";"483";""
"CNDC_3";"2";"483";""
"DEWT";"3";"429";""
"GPS_HEIGHT";"18";"431";""
"LATITUDE";"4";"440";"Degrees North"
"LONGITUDE";"5";"440";"Degrees East"
"PL_CRS";"6";"441";"Clockwise from True North"
"PL_SPD";"7";"433";""
"PL_WDIR";"16";"441";"Clockwise from True North"
"PL_WSPD";"17";"433";""
"PSAL";"12";"481";""
"PSAL_2";"12";"481";""
"PSAL_3";"12";"481";""
"RAD_PAR";"15";"585";""
"RELH";"14";"446";""
"TEMP";"13";"429";""
"TEMP_2";"13";"429";""
"TEMP_3";"13";"429";""
"TEMP_4";"13";"429";""
"WDIR";"8";"441";"Clockwise from True North"
"WETT";"11";"429";""
"WSPD";"9";"433";""
